Motivo del viaje;Tipo de dato;Periodo(mes/año);Total
Ocio, recreo y vacaciones;Dato base;2016M04;4.921.015
Ocio, recreo y vacaciones;Dato base;2016M03;3.747.057
Ocio, recreo y vacaciones;Dato base;2016M02;2.814.264
Ocio, recreo y vacaciones;Dato base;2016M01;2.671.999
Ocio, recreo y vacaciones;Dato base;2015M12;2.631.906
Ocio, recreo y vacaciones;Dato base;2015M11;2.926.298
Ocio, recreo y vacaciones;Dato base;2015M10;5.311.088
Negocio, motivos profesionales;Dato base;2020M09;74.545
Negocio, motivos profesionales;Dato base;2020M08;45.725
Negocio, motivos profesionales;Dato base;2020M07;96.001
Negocio, motivos profesionales;Dato base;2020M06;15.950
Negocio, motivos profesionales;Dato base;2020M05;0
Negocio, motivos profesionales;Dato base;2020M04;0
Negocio, motivos profesionales;Dato base;2020M03;136.668
Negocio, motivos profesionales;Dato base;2020M02;369.648
Negocio, motivos profesionales;Dato base;2020M01;369.863
Negocio, motivos profesionales;Dato base;2019M12;384.744
Negocio, motivos profesionales;Dato base;2019M11;490.102
Negocio, motivos profesionales;Dato base;2019M10;577.666
Negocio, motivos profesionales;Dato base;2019M09;514.014
Negocio, motivos profesionales;Dato base;2019M08;186.837
Negocio, motivos profesionales;Dato base;2019M07;425.815
Negocio, motivos profesionales;Dato base;2019M06;589.064
Negocio, motivos profesionales;Dato base;2019M05;544.991
Negocio, motivos profesionales;Dato base;2019M04;440.058
Negocio, motivos profesionales;Dato base;2019M03;487.217
Negocio, motivos profesionales;Dato base;2019M02;426.478
Negocio, motivos profesionales;Dato base;2019M01;342.198
Negocio, motivos profesionales;Dato base;2018M12;321.116
Negocio, motivos profesionales;Dato base;2018M11;445.118
Negocio, motivos profesionales;Dato base;2018M10;525.779
Negocio, motivos profesionales;Dato base;2018M09;507.364
Negocio, motivos profesionales;Dato base;2018M08;165.191
Negocio, motivos profesionales;Dato base;2018M07;337.017
Negocio, motivos profesionales;Dato base;2018M06;492.467
Negocio, motivos profesionales;Dato base;2018M05;422.922
Negocio, motivos profesionales;Dato base;2018M04;514.279
Negocio, motivos profesionales;Dato base;2018M03;586.826
Negocio, motivos profesionales;Dato base;2018M02;435.131
Negocio, motivos profesionales;Dato base;2018M01;270.147
Negocio, motivos profesionales;Dato base;2017M12;343.303
Negocio, motivos profesionales;Dato base;2017M11;378.712
Negocio, motivos profesionales;Dato base;2017M10;490.368
Negocio, motivos profesionales;Dato base;2017M09;512.468
Negocio, motivos profesionales;Dato base;2017M08;167.352
Negocio, motivos profesionales;Dato base;2017M07;355.118
Negocio, motivos profesionales;Dato base;2017M06;502.206
Negocio, motivos profesionales;Dato base;2017M05;493.965
Negocio, motivos profesionales;Dato base;2017M04;363.773
Negocio, motivos profesionales;Dato base;2017M03;444.136
Negocio, motivos profesionales;Dato base;2017M02;346.003
Negocio, motivos profesionales;Dato base;2017M01;323.058
Negocio, motivos profesionales;Dato base;2016M12;338.164
Negocio, motivos profesionales;Dato base;2016M11;416.829
Negocio, motivos profesionales;Dato base;2016M10;545.652
Negocio, motivos profesionales;Dato base;2016M09;396.444
Negocio, motivos profesionales;Dato base;2016M08;122.373
Negocio, motivos profesionales;Dato base;2016M07;303.483
Negocio, motivos profesionales;Dato base;2016M06;442.129
Negocio, motivos profesionales;Dato base;2016M05;478.728
Negocio, motivos profesionales;Dato base;2016M04;459.199
Negocio, motivos profesionales;Dato base;2016M03;387.761
Negocio, motivos profesionales;Dato base;2016M02;441.059
Negocio, motivos profesionales;Dato base;2016M01;347.876
Negocio, motivos profesionales;Dato base;2015M12;301.888
Negocio, motivos profesionales;Dato base;2015M11;393.014
Negocio, motivos profesionales;Dato base;2015M10;469.568
Otros motivos;Dato base;2020M09;163.543
Otros motivos;Dato base;2020M08;227.973
Otros motivos;Dato base;2020M07;248.256
Otros motivos;Dato base;2020M06;22.325
Otros motivos;Dato base;2020M05;0
Otros motivos;Dato base;2020M04;0
Otros motivos;Dato base;2020M03;211.688
Otros motivos;Dato base;2020M02;405.926
Otros motivos;Dato base;2020M01;386.889
Otros motivos;Dato base;2019M12;386.836
Otros motivos;Dato base;2019M11;349.069
Otros motivos;Dato base;2019M10;381.809
Otros motivos;Dato base;2019M09;383.584
Otros motivos;Dato base;2019M08;480.080
Otros motivos;Dato base;2019M07;471.808
Otros motivos;Dato base;2019M06;427.213
Otros motivos;Dato base;2019M05;456.226
Otros motivos;Dato base;2019M04;493.409
Otros motivos;Dato base;2019M03;477.059
Otros motivos;Dato base;2019M02;403.364
Otros motivos;Dato base;2019M01;413.090
Otros motivos;Dato base;2018M12;462.275
Otros motivos;Dato base;2018M11;328.388
Otros motivos;Dato base;2018M10;416.656
Otros motivos;Dato base;2018M09;437.884
Otros motivos;Dato base;2018M08;639.841
Otros motivos;Dato base;2018M07;612.908
Otros motivos;Dato base;2018M06;553.709
Otros motivos;Dato base;2018M05;513.543
Otros motivos;Dato base;2018M04;483.303
Otros motivos;Dato base;2018M03;464.702
Otros motivos;Dato base;2018M02;324.544
Otros motivos;Dato base;2018M01;374.254
Otros motivos;Dato base;2017M12;421.854
Otros motivos;Dato base;2017M11;337.281
Otros motivos;Dato base;2017M10;447.753
Otros motivos;Dato base;2017M09;415.460
Otros motivos;Dato base;2017M08;634.376
Otros motivos;Dato base;2017M07;710.359
Otros motivos;Dato base;2017M06;528.191
Otros motivos;Dato base;2017M05;613.115
Otros motivos;Dato base;2017M04;652.137
Otros motivos;Dato base;2017M03;474.721
Otros motivos;Dato base;2017M02;385.628
Otros motivos;Dato base;2017M01;440.081
Otros motivos;Dato base;2016M12;536.345
Otros motivos;Dato base;2016M11;429.482
Otros motivos;Dato base;2016M10;491.615
Otros motivos;Dato base;2016M09;478.306
Otros motivos;Dato base;2016M08;608.198
Otros motivos;Dato base;2016M07;577.555
Otros motivos;Dato base;2016M06;519.265
Otros motivos;Dato base;2016M05;554.236
Otros motivos;Dato base;2016M04;706.113
Otros motivos;Dato base;2016M03;492.388
Otros motivos;Dato base;2016M02;423.403
Otros motivos;Dato base;2016M01;506.662
Otros motivos;Dato base;2015M12;579.120
Otros motivos;Dato base;2015M11;435.490
Otros motivos;Dato base;2015M10;651.685
